synonyms,species,dataset
Cursorius_bitorquatus,Rhinoptilus_bitorquatus,itis1
Cursorius_chalcopterus,Rhinoptilus_chalcopterus,itis1
Cursorius_cinctus,Rhinoptilus_cinctus,itis1
Glareola_isabella,Stiltia_isabella,itis1
Chionis_alba,Chionis_albus,itis1
Catharacta_skua,Stercorarius_skua,itis1
Catharacta_maccormicki,Stercorarius_maccormicki,itis1
Larus_ridibundus,Chroicocephalus_ridibundus,itis1
Larus_atricilla,Leucophaeus_atricilla,itis1
Larus_pipixcan,Leucophaeus_pipixcan,itis1
Larus_philadelphia,Chroicocephalus_philadelphia,itis1
Larus_minutus,Hydrocoloeus_minutus,itis1
Larus_audouinii,Ichthyaetus_audouinii,itis1
Larus_brevirostris,Rissa_brevirostris,itis1
Larus_brunnicephalus,Chroicocephalus_brunnicephalus,itis1
Larus_bulleri,Chroicocephalus_bulleri,itis1
Larus_cirrocephalus,Chroicocephalus_cirrocephalus,itis1
Larus_eburnea,Pagophila_eburnea,itis1
Larus_fuliginosus,Leucophaeus_fuliginosus,itis1
Larus_genei,Chroicocephalus_genei,itis1
Larus_hemprichii,Ichthyaetus_hemprichii,itis1
Larus_ichthyaetus,Ichthyaetus_ichthyaetus,itis1
Larus_leucophthalmus,Ichthyaetus_leucophthalmus,itis1
Larus_maculipennis,Chroicocephalus_maculipennis,itis1
Larus_melanocephalus,Ichthyaetus_melanocephalus,itis1
Larus_modestus,Leucophaeus_modestus,itis1
Larus_novaehollandiae,Chroicocephalus_novaehollandiae,itis1
Larus_relictus,Ichthyaetus_relictus,itis1
Larus_rosea,Rhodostethia_rosea,itis1
Larus_sabini,Xema_sabini,itis1
Larus_saundersi,Chroicocephalus_saundersi,itis1
Larus_scoresbii,Leucophaeus_scoresbii,itis1
Larus_serranus,Chroicocephalus_serranus,itis1
Larus_tridactyla,Rissa_tridactyla,itis1
Sterna_aleutica,Onychoprion_aleuticus,itis1
Sterna_fuscata,Onychoprion_fuscatus,itis1
Sterna_anaethetus,Onychoprion_anaethetus,itis1
Sterna_albifrons,Sternula_albifrons,itis1
Sterna_balaenarum,Sternula_balaenarum,itis1
Sterna_bengalensis,Thalasseus_bengalensis,itis1
Sterna_bergii,Thalasseus_bergii,itis1
Sterna_lorata,Sternula_lorata,itis1
Sterna_lunata,Onychoprion_lunatus,itis1
Sterna_nereis,Sternula_nereis,itis1
Sterna_saundersi,Sternula_saundersi,itis1
Sterna_superciliaris,Sternula_superciliaris,itis1
Sterna_zimmermanni,Thalasseus_bernsteini,itis1
Sterna_maxima,Thalasseus_maximus,itis1
Sterna_antillarum,Sternula_antillarum,itis1
Sterna_caspia,Hydroprogne_caspia,itis1
Sterna_elegans,Thalasseus_elegans,itis1
Sterna_nilotica,Gelochelidon_nilotica,itis1
Sterna_sandvicensis,Thalasseus_sandvicensis,itis1
Thalasseus_maxima,Thalasseus_maximus,itis1
Chilidonias_niger,Chlidonias_niger,itis1
Chilidonias_leucopterus,Chlidonias_leucopterus,itis1
Procelsterna_caerulea,Procelsterna_cerulea,itis1
Gabianus_scoresbyi,Leucophaeus_scoresbii,itis1
Rynchops_nigra,Rynchops_niger,itis1
Penguinus_impennis,Pinguinus_impennis,itis1
Brachyramphus_hypoleuca,Synthliboramphus_hypoleucus,itis1
Endomychura_craveri,Synthliboramphus_craveri,itis1
Endomychura_hypoleucus,Synthliboramphus_hypoleucus,itis1
Cyclorrhynchus_psittacula,Aethia_psittacula,itis1
Lunda_cirrhata,Fratercula_cirrhata,itis1
Brachyrampus_brevirostris,Brachyramphus_brevirostris,itis1
