"synonyms","species"
"Prionus_chalcopterus","Pionus_chalcopterus"
"Prionus_fuscus","Pionus_fuscus"
"Prionus_maximiliani","Pionus_maximiliani"
"Prionus_menstruus","Pionus_menstruus"
"Prionus_senilus","Pionus_senilis"
"Prionus_sordidus","Pionus_sordidus"
"Prionus_tumultuosus","Pionus_tumultuosus"
"Amazona_finschia","Amazona_finschi"
"Amazona_guildingi","Amazona_guildingii"
"Amazona_imperalis","Amazona_imperialis"
"Amazona_tucumara","Amazona_tucumana"
"Triclara_malachitacea","Triclaria_malachitacea"
"Otus_asio","Megascops_asio"
"Otus_trichopsis","Megascops_trichopsis"
"Otus_kennicotti","Megascops_kennicottii"
"Otus_nudipes","Megascops_nudipes"
"Nyctea_scandiaca","Bubo_scandiacus"
"Speotyto_cunicularia","Athene_cunicularia"
"Phalaenoptilus_nuttalli","Phalaenoptilus_nuttallii"
"Amazilia_verticalis","Amazilia_cyanocephala"
"Orthorhynchus_cristatus","Orthorhyncus_cristatus"
"Ceryle_alcyon","Megaceryle_alcyon"
"Ceryle_torquata","Megaceryle_torquata"
"Halcyon_chloris","Todiramphus_chloris"
"Halcyon_cinnamonina","Todiramphus_cinnamominus"
"Centurus_carolinus","Melanerpes_carolinus"
"Centurus_aurifrons","Melanerpes_aurifrons"
"Centurus_uropygialis","Melanerpes_uropygialis"
"Asyndesmus_lewis","Melanerpes_lewis"
"Dendrocopos_villosus","Picoides_villosus"
"Dendrocopos_pubescens","Picoides_pubescens"
"Dendrocopos_scalaris","Picoides_scalaris"
"Dendrocopos_nuttalli","Picoides_nuttallii"
"Dendrocopos_arizonae","Picoides_arizonae"
"Dendrocopos_borealis","Picoides_borealis"
"Dendrocopos_albolarvatus","Picoides_albolarvatus"
"Muscivora_tyrannus","Tyrannus_savana"
"Muscivora_forficata","Tyrannus_forficatus"
"Empidonax_hammondi","Empidonax_hammondii"
"Contopus_borealis","Contopus_cooperi"
"Nuttallornis_borealis","Contopus_cooperi"
"Platypsaris_aglaiae","Pachyramphus_aglaiae"
"Eromophila_alpestris","Eremophila_alpestris"
"Callichelidon_cyaneoviridis","Tachycineta_cyaneoviridis"
"Iridoprocne_bicolor","Tachycineta_bicolor"
"Delichon_urbica","Delichon_urbicum"
"Hirundo_fulva","Petrochelidon_fulva"
"Hirundo_pyrrhonota","Petrochelidon_pyrrhonota"
"Progne_ekegans","Progne_elegans"
"Phaeoprogne_tapera","Progne_tapera"
"Telmatodytes_palustris","Cistothorus_palustris"
"Toxostoma_dorsale","Toxostoma_crissale"
"Acrocephalus_luscinia","Acrocephalus_luscinius"
"Cettia_annae","Horornis_annae"
"Cettia_diphone","Horornis_diphone"
"Pitohui_tenebrosus","Pachycephala_tenebrosa"
"Parus_atricapillus","Poecile_atricapillus"
"Parus_carolinensis","Poecile_carolinensis"
"Parus_sclateri","Poecile_sclateri"
"Parus_gambeli","Poecile_gambeli"
"Parus_cinctus","Poecile_cinctus"
"Parus_hudsonicus","Poecile_hudsonicus"
"Parus_rufescens","Poecile_rufescens"
"Parus_bicolor","Baeolophus_bicolor"
"Parus_atricristatus","Baeolophus_atricristatus"
"Parus_inornatus","Baeolophus_inornatus"
"Parus_wollweberi","Baeolophus_wollweberi"
"Foulehaio_carunculata","Foulehaio_carunculatus"
"Basileuterus_culcivorus","Basileuterus_culicivorus"
"Helmitheros_vermivorus","Helmitheros_vermivorum"
"Vermivora_pinus","Setophaga_pinus"
"Vermivora_peregrina","Leiothlypis_peregrina"
"Vermivora_celata","Leiothlypis_celata"
"Vermivora_ruficapilla","Leiothlypis_ruficapilla"
